ONS_ID,ONS_Name,rurality,pct_covered,facility_type,costing,travel_limit_mins
3021,CARP,rural,1,arena,auto,15
3031,CONSTANCE BAY,rural,0,arena,auto,15
3033,CORKERY,rural,0.919879101575539,arena,auto,15
3037,CUMBERLAND,rural,1,arena,auto,15
3038,DUNROBIN,rural,0.60464872952959825,arena,auto,15
3039,EDWARDS - CARLSBAD SPRINGS,rural,0.9905826598378105,arena,auto,15
3046,FITZROY,rural,0.07368586159905485,arena,auto,15
3049,GREELY,rural,1,arena,auto,15
3062,KINBURN,rural,0.6506219921474979,arena,auto,15
3070,MANOTICK,rural,1,arena,auto,15
3071,MARLBOROUGH,rural,0.082981800454094,arena,auto,15
3073,METCALFE,rural,0.675160466347954,arena,auto,15
3074,RICHMOND,rural,0.9620573727507638,arena,auto,15
3075,MUNSTER - ASHTON,rural,0.7752472730533445,arena,auto,15
3076,NAVAN - SARSFIELD,rural,0.9684803299775167,arena,auto,15
3078,NORTH GOWER - KARS,rural,0.8579528279108827,arena,auto,15
3086,OSGOODE - VERNON,rural,0.9332436925004973,arena,auto,15
3113,VARS,rural,0.8684523158100551,arena,auto,15
3021,CARP,rural,1,cmmt_garden,auto,15
3031,CONSTANCE BAY,rural,0,cmmt_garden,auto,15
3033,CORKERY,rural,0.9169220339274203,cmmt_garden,auto,15
3037,CUMBERLAND,rural,0.9752882749543897,cmmt_garden,auto,15
3038,DUNROBIN,rural,0.7097308479602666,cmmt_garden,auto,15
3039,EDWARDS - CARLSBAD SPRINGS,rural,1,cmmt_garden,auto,15
3046,FITZROY,rural,0.07368586159905485,cmmt_garden,auto,15
3049,GREELY,rural,1,cmmt_garden,auto,15
3062,KINBURN,rural,0.7139160417079458,cmmt_garden,auto,15
3070,MANOTICK,rural,1,cmmt_garden,auto,15
3071,MARLBOROUGH,rural,0.305348492794464,cmmt_garden,auto,15
3073,METCALFE,rural,1,cmmt_garden,auto,15
3074,RICHMOND,rural,1,cmmt_garden,auto,15
3075,MUNSTER - ASHTON,rural,0.9647460166385993,cmmt_garden,auto,15
3076,NAVAN - SARSFIELD,rural,0.9169507092346494,cmmt_garden,auto,15
3078,NORTH GOWER - KARS,rural,0.8482190509120615,cmmt_garden,auto,15
3086,OSGOODE - VERNON,rural,0.9868265335083689,cmmt_garden,auto,15
3113,VARS,rural,0.9839280761005236,cmmt_garden,auto,15
3021,CARP,rural,1,library,auto,15
3031,CONSTANCE BAY,rural,1,library,auto,15
3033,CORKERY,rural,0.8900679976437912,library,auto,15
3037,CUMBERLAND,rural,0.8843544327918835,library,auto,15
3038,DUNROBIN,rural,0.7544152338869058,library,auto,15
3039,EDWARDS - CARLSBAD SPRINGS,rural,0.9086818298403354,library,auto,15
3046,FITZROY,rural,0.973866761878231,library,auto,15
3049,GREELY,rural,1,library,auto,15
3062,KINBURN,rural,0.8054931762775915,library,auto,15
3070,MANOTICK,rural,1,library,auto,15
3071,MARLBOROUGH,rural,0.7014997821963326,library,auto,15
