ONS_ID,ONS_Name,rurality,pct_covered,facility_type
3021,CARP,Rural,1,arena
3031,CONSTANCE BAY,Rural,0,arena
3033,CORKERY,Rural,0.919879101575539,arena
3037,CUMBERLAND,Rural,1,arena
3038,DUNROBIN,Rural,0.60464872952959825,arena
3039,EDWARDS - CARLSBAD SPRINGS,Rural,0.9905826598378105,arena
3046,FITZROY,Rural,0.07368586159905485,arena
3049,GREELY,Rural,1,arena
3062,KINBURN,Rural,0.6506219921474979,arena
3070,MANOTICK,Rural,1,arena
3071,MARLBOROUGH,Rural,0.082981800454094,arena
3073,METCALFE,Rural,0.675160466347954,arena
3074,RICHMOND,Rural,0.9620573727507638,arena
3075,MUNSTER - ASHTON,Rural,0.7752472730533445,arena
3076,NAVAN - SARSFIELD,Rural,0.9684803299775167,arena
3078,NORTH GOWER - KARS,Rural,0.8579528279108827,arena
3086,OSGOODE - VERNON,Rural,0.9332436925004973,arena
3091,PORTOBELLO SOUTH,Rural,1,arena
3113,VARS,Rural,0.8684523158100551,arena
3021,CARP,Rural,1,cmmt_garden
3031,CONSTANCE BAY,Rural,0,cmmt_garden
3033,CORKERY,Rural,0.9169220339274203,cmmt_garden
3037,CUMBERLAND,Rural,0.9752882749543897,cmmt_garden
3038,DUNROBIN,Rural,0.7097308479602666,cmmt_garden
3039,EDWARDS - CARLSBAD SPRINGS,Rural,1,cmmt_garden
3046,FITZROY,Rural,0.07368586159905485,cmmt_garden
3049,GREELY,Rural,1,cmmt_garden
3062,KINBURN,Rural,0.7139160417079458,cmmt_garden
3070,MANOTICK,Rural,1,cmmt_garden
3071,MARLBOROUGH,Rural,0.305348492794464,cmmt_garden
3073,METCALFE,Rural,1,cmmt_garden
3074,RICHMOND,Rural,1,cmmt_garden
3075,MUNSTER - ASHTON,Rural,0.9647460166385993,cmmt_garden
3076,NAVAN - SARSFIELD,Rural,0.9169507092346494,cmmt_garden
3078,NORTH GOWER - KARS,Rural,0.8482190509120615,cmmt_garden
